dl_name,long_name,short_name,default
mean_convective_snowfall_rate,Mean convective snowfall rate,mcsr,
mean_direction_of_total_swell,Mean direction of total swell,mdts,
mean_direction_of_wind_waves,Mean direction of wind waves,mdww,
mean_eastward_gravity_wave_surface_stress,Mean eastward gravity wave surface stress,megwss,
mean_eastward_turbulent_surface_stress,Mean eastward turbulent surface stress,metss,
mean_evaporation_rate,Mean evaporation rate,mer,
mean_gravity_wave_dissipation,Mean gravity wave dissipation,mgwd,
mean_large_scale_precipitation_fraction,Mean large-scale precipitation fraction,mlspf,
mean_large_scale_precipitation_rate,Mean large-scale precipitation rate,mlspr,
mean_large_scale_snowfall_rate,Mean large-scale snowfall rate,mlssr,
mean_northward_gravity_wave_surface_stress,Mean northward gravity wave surface stress,mngwss,
mean_northward_turbulent_surface_stress,Mean northward turbulent surface stress,mntss,
mean_period_of_total_swell,Mean period of total swell,mpts,
mean_period_of_wind_waves,Mean period of wind waves,mpww,
mean_potential_evaporation_rate,Mean potential evaporation rate,mper,
mean_runoff_rate,Mean runoff rate,mror,
mean_sea_level_pressure,Mean sea level pressure,msl,
mean_snow_evaporation_rate,Mean snow evaporation rate,mser,
mean_snowfall_rate,Mean snowfall rate,msr,
mean_snowmelt_rate,Mean snowmelt rate,msmr,
mean_square_slope_of_waves,Mean square slope of waves,msqs,
mean_sub_surface_runoff_rate,Mean sub-surface runoff rate,mssror,
mean_surface_direct_short_wave_radiation_flux,Mean surface direct short-wave radiation flux,msdrswrf,
mean_surface_direct_short_wave_radiation_flux_clear_sky,"Mean surface direct short-wave radiation flux, clear sky",msdrswrfcs,
mean_surface_downward_long_wave_radiation_flux,Mean surface downward long-wave radiation flux,msdwlwrf,
mean_surface_downward_long_wave_radiation_flux_clear_sky,"Mean surface downward long-wave radiation flux, clear sky",msdwlwrfcs,
mean_surface_downward_short_wave_radiation_flux,Mean surface downward short-wave radiation flux,msdwswrf,
mean_surface_downward_short_wave_radiation_flux_clear_sky,"Mean surface downward short-wave radiation flux, clear sky",msdwswrfcs,
mean_surface_downward_uv_radiation_flux,Mean surface downward UV radiation flux,msdwuvrf,
mean_surface_latent_heat_flux,Mean surface latent heat flux,mslhf,
mean_surface_net_long_wave_radiation_flux,Mean surface net long-wave radiation flux,msnlwrf,
mean_surface_net_long_wave_radiation_flux_clear_sky,"Mean surface net long-wave radiation flux, clear sky",msnlwrfcs,
mean_surface_net_short_wave_radiation_flux,Mean surface net short-wave radiation flux,msnswrf,
mean_surface_net_short_wave_radiation_flux_clear_sky,"Mean surface net short-wave radiation flux, clear sky",msnswrfcs,
mean_surface_runoff_rate,Mean surface runoff rate,msror,
mean_surface_sensible_heat_flux,Mean surface sensible heat flux,msshf,
mean_top_downward_short_wave_radiation_flux,Mean top downward short-wave radiation flux,mtdwswrf,
mean_top_net_long_wave_radiation_flux,Mean top net long-wave radiation flux,mtnlwrf,
mean_top_net_long_wave_radiation_flux_clear_sky,"Mean top net long-wave radiation flux, clear sky",mtnlwrfcs,
mean_top_net_short_wave_radiation_flux,Mean top net short-wave radiation flux,mtnswrf,
mean_top_net_short_wave_radiation_flux_clear_sky,"Mean top net short-wave radiation flux, clear sky",mtnswrfcs,
mean_total_precipitation_rate,Mean total precipitation rate,mtpr,
mean_vertical_gradient_of_refractivity_inside_trapping_layer,Mean vertical gradient of refractivity inside trapping layer,dndza,
mean_vertically_integrated_moisture_divergence,Mean vertically integrated moisture divergence,mvimd,
mean_wave_direction,Mean wave direction,mwd,
mean_wave_direction_of_first_swell_partition,Mean wave direction of first swell partition,p140122,
mean_wave_direction_of_second_swell_partition,Mean wave direction of second swell partition,p140125,
mean_wave_direction_of_third_swell_partition,Mean wave direction of third swell partition,p140128,
mean_wave_period,Mean wave period,mwp,
mean_wave_period_based_on_first_moment,Mean wave period based on first moment,mp1,
mean_wave_period_based_on_first_moment_for_swell,Mean wave period based on first moment for swell,p1ps,
mean_wave_period_based_on_first_moment_for_wind_waves,Mean wave period based on first moment for wind waves,p1ww,
mean_wave_period_based_on_second_moment_for_swell,Mean wave period based on second moment for swell,p2ps,
mean_wave_period_based_on_second_moment_for_wind_waves,Mean wave period based on second moment for wind waves,p2ww,
mean_wave_period_of_first_swell_partition,Mean wave period of first swell partition,p140123,
mean_wave_period_of_second_swell_partition,Mean wave period of second swell partition,p140126,
mean_wave_period_of_third_swell_partition,Mean wave period of third swell partition,p140129,
mean_zero_crossing_wave_period,Mean zero-crossing wave period,mp2,
medium_cloud_cover,Medium cloud cover,mcc,
minimum_2m_temperature_since_previous_post_processing,Minimum temperature at 2 metres since previous post-processing,mn2t,
minimum_total_precipitation_rate_since_previous_post_processing,Minimum total precipitation rate since previous post-processing,mntpr,
minimum_vertical_gradient_of_refractivity_inside_trapping_layer,Minimum vertical gradient of refractivity inside trapping layer,dndzn,
model_bathymetry,Model bathymetry,wmb,
near_ir_albedo_for_diffuse_radiation,Near IR albedo for diffuse radiation,alnid,
near_ir_albedo_for_direct_radiation,Near IR albedo for direct radiation,alnip,
normalized_energy_flux_into_ocean,Normalized energy flux into ocean,phioc,
normalized_energy_flux_into_waves,Normalized energy flux into waves,phiaw,
normalized_stress_into_ocean,Normalized stress into ocean,tauoc,
northward_gravity_wave_surface_stress,Northward gravity wave surface stress,mgws,
northward_turbulent_surface_stress,Northward turbulent surface stress,nsss,
orography,Geopotential,z,
peak_wave_period,Peak wave period,pp1d,
period_corresponding_to_maximum_individual_wave_height,Period corresponding to maximum individual wave height,tmax,
potential_evaporation,Potential evaporation,pev,1
precipitation_type,Precipitation type,ptype,
runoff,Runoff,ro,
sea_ice_cover,Sea ice area fraction,siconc,
sea_surface_temperature,Sea surface temperature,sst,
significant_height_of_combined_wind_waves_and_swell,Significant height of combined wind waves and swell,swh,
significant_height_of_total_swell,Significant height of total swell,shts,
significant_height_of_wind_waves,Significant height of wind waves,shww,
significant_wave_height_of_first_swell_partition,Significant wave height of first swell partition,p140121,
significant_wave_height_of_second_swell_partition,Significant wave height of second swell partition,p140124,
significant_wave_height_of_third_swell_partition,Significant wave height of third swell partition,p140127,
skin_reservoir_content,Skin reservoir content,src,
skin_temperature,Skin temperature,skt,
slope_of_sub_gridscale_orography,Slope of sub-gridscale orography,slor,
snow_albedo,Snow albedo,asn,
snow_density,Snow density,rsn,1
snow_depth,Snow depth,sd,1
snow_evaporation,Snow evaporation,es,
snowfall,Snowfall,sf,
snowmelt,Snowmelt,smlt,
soil_temperature_level_1,Soil temperature level 1,stl1,1
soil_temperature_level_2,Soil temperature level 2,stl2,1
soil_temperature_level_3,Soil temperature level 3,stl3,1
soil_temperature_level_4,Soil temperature level 4,stl4,1
soil_type,Soil type,slt,1
standard_deviation_of_filtered_subgrid_orography,Standard deviation of filtered subgrid orography,sdfor,
standard_deviation_of_orography,Standard deviation of orography,sdor,
sub_surface_runoff,Sub-surface runoff,ssro,
surface_latent_heat_flux,Surface latent heat flux,slhf,
surface_net_solar_radiation,Surface net solar radiation,ssr,
surface_net_solar_radiation_clear_sky,"Surface net solar radiation, clear sky",ssrc,
surface_net_thermal_radiation,Surface net thermal radiation,str,
surface_net_thermal_radiation_clear_sky,"Surface net thermal radiation, clear sky",strc,
surface_pressure,Surface pressure,sp,
surface_runoff,Surface runoff,sro,
surface_sensible_heat_flux,Surface sensible heat flux,sshf,
surface_solar_radiation_downward_clear_sky,Surface solar radiation downward clear-sky,ssrdc,
surface_solar_radiation_downwards,Surface solar radiation downwards,ssrd,
surface_thermal_radiation_downward_clear_sky,Surface thermal radiation downward clear-sky,strdc,
surface_thermal_radiation_downwards,Surface thermal radiation downwards,strd,
temperature_of_snow_layer,Temperature of snow layer,tsn,
toa_incident_solar_radiation,TOA incident solar radiation,tisr,
top_net_solar_radiation,Top net solar radiation,tsr,
top_net_solar_radiation_clear_sky,"Top net solar radiation, clear sky",tsrc,
top_net_thermal_radiation,Top net thermal radiation,ttr,
top_net_thermal_radiation_clear_sky,"Top net thermal radiation, clear sky",ttrc,
total_cloud_cover,Total cloud cover,tcc,
total_column_cloud_ice_water,Total column cloud ice water,tciw,
total_column_cloud_liquid_water,Total column cloud liquid water,tclw,
total_column_ozone,Total column ozone,tco3,
total_column_rain_water,Total column rain water,tcrw,
total_column_snow_water,Total column snow water,tcsw,
total_column_supercooled_liquid_water,Total column supercooled liquid water,tcslw,
total_column_water,Total column water,tcw,
total_column_water_vapour,Total column water vapour,tcwv,
total_precipitation,Total precipitation,tp,1
total_sky_direct_solar_radiation_at_surface,Total sky direct solar radiation at surface,fdir,
total_totals_index,Total totals index,totalx,
trapping_layer_base_height,Trapping layer base height,tplb,
trapping_layer_top_height,Trapping layer top height,tplt,
type_of_high_vegetation,Type of high vegetation,tvh,
type_of_low_vegetation,Type of low vegetation,tvl,
u_component_stokes_drift,U-component stokes drift,ust,
uv_visible_albedo_for_diffuse_radiation,UV visible albedo for diffuse radiation,aluvd,
uv_visible_albedo_for_direct_radiation,UV visible albedo for direct radiation,aluvp,
v_component_stokes_drift,V-component stokes drift,vst,
vertical_integral_of_divergence_of_cloud_frozen_water_flux,Vertical integral of divergence of cloud frozen water flux,p80.162,
vertical_integral_of_divergence_of_cloud_liquid_water_flux,Vertical integral of divergence of cloud liquid water flux,p79.162,
vertical_integral_of_divergence_of_geopotential_flux,Vertical integral of divergence of geopotential flux,p85.162,
vertical_integral_of_divergence_of_kinetic_energy_flux,Vertical integral of divergence of kinetic energy flux,p82.162,
vertical_integral_of_divergence_of_mass_flux,Vertical integral of divergence of mass flux,p81.162,
vertical_integral_of_divergence_of_moisture_flux,Vertical integral of divergence of moisture flux,p84.162,
vertical_integral_of_divergence_of_ozone_flux,Vertical integral of divergence of ozone flux,p87.162,
vertical_integral_of_divergence_of_thermal_energy_flux,Vertical integral of divergence of thermal energy flux,p83.162,
vertical_integral_of_divergence_of_total_energy_flux,Vertical integral of divergence of total energy flux,p86.162,
vertical_integral_of_eastward_cloud_frozen_water_flux,Vertical integral of eastward cloud frozen water flux,p90.162,
vertical_integral_of_eastward_cloud_liquid_water_flux,Vertical integral of eastward cloud liquid water flux,p88.162,
vertical_integral_of_eastward_geopotential_flux,Vertical integral of eastward geopotential flux,p73.162,
vertical_integral_of_eastward_heat_flux,Vertical integral of eastward heat flux,p69.162,
vertical_integral_of_eastward_kinetic_energy_flux,Vertical integral of eastward kinetic energy flux,p67.162,
vertical_integral_of_eastward_mass_flux,Vertical integral of eastward mass flux,p65.162,
vertical_integral_of_eastward_ozone_flux,Vertical integral of eastward ozone flux,p77.162,
vertical_integral_of_eastward_total_energy_flux,Vertical integral of eastward total energy flux,p75.162,
vertical_integral_of_eastward_water_vapour_flux,Vertical integral of eastward water vapour flux,p71.162,
vertical_integral_of_energy_conversion,Vertical integral of energy conversion,p64.162,
vertical_integral_of_kinetic_energy,Vertical integral of kinetic energy,p59.162,
vertical_integral_of_mass_of_atmosphere,Vertical integral of mass of atmosphere,p53.162,
vertical_integral_of_mass_tendency,Vertical integral of mass tendency,p92.162,
vertical_integral_of_northward_cloud_frozen_water_flux,Vertical integral of northward cloud frozen water flux,p91.162,
vertical_integral_of_northward_cloud_liquid_water_flux,Vertical integral of northward cloud liquid water flux,p89.162,
vertical_integral_of_northward_geopotential_flux,Vertical integral of northward geopotential flux,p74.162,
vertical_integral_of_northward_heat_flux,Vertical integral of northward heat flux,p70.162,
vertical_integral_of_northward_kinetic_energy_flux,Vertical integral of northward kinetic energy flux,p68.162,
vertical_integral_of_northward_mass_flux,Vertical integral of northward mass flux,p66.162,
vertical_integral_of_northward_ozone_flux,Vertical integral of northward ozone flux,p78.162,
vertical_integral_of_northward_total_energy_flux,Vertical integral of northward total energy flux,p76.162,
vertical_integral_of_northward_water_vapour_flux,Vertical integral of northward water vapour flux,p72.162,
vertical_integral_of_potential_and_internal_energy,Vertical integral of potential+internal energy,p61.162,
vertical_integral_of_potential_internal_and_latent_energy,Vertical integral of potential+internal+latent energy,p62.162,
vertical_integral_of_temperature,Vertical integral of temperature,p54.162,
vertical_integral_of_thermal_energy,Vertical integral of thermal energy,p60.162,
vertical_integral_of_total_energy,Vertical integral of total energy,p63.162,
vertically_integrated_moisture_divergence,Vertically integrated moisture divergence,vimd,
volumetric_soil_water_layer_1,Volumetric soil water layer 1,swvl1,1
volumetric_soil_water_layer_2,Volumetric soil water layer 2,swvl2,1
volumetric_soil_water_layer_3,Volumetric soil water layer 3,swvl3,1
volumetric_soil_water_layer_4,Volumetric soil water layer 4,swvl4,1
wave_spectral_directional_width,Wave spectral directional width,wdw,
wave_spectral_directional_width_for_swell,Wave spectral directional width for swell,dwps,
wave_spectral_directional_width_for_wind_waves,Wave spectral directional width for wind waves,dwww,
wave_spectral_kurtosis,Wave spectral kurtosis,wsk,
wave_spectral_peakedness,Wave spectral peakedness,wsp,
wave_spectral_skewness,Wave Spectral Skewness,wss,
zero_degree_level,Zero degree level,deg0l,
